[2017-05-09T13:54:19.848202] id=2384, name=HD 99109 b, per=439.3, mass=0.504198, sep=1.10806, dist=49.9251, mstar=0.94, rstar=0.973205, teff=5272.39, fe=0.314846
[2017-05-09T13:54:19.850001] id=2429, name=HD 156411 b, per=842.2, mass=0.732711, sep=1.87545, dist=54.7945, mstar=1.24, rstar=1.85525, teff=5910.0, fe=-0.11
[2017-05-09T13:54:19.851796] id=2467, name=HD 4113 b, per=526.62, mass=1.64829, sep=1.27266, dist=44.0529, mstar=0.99, rstar=1.07428, teff=5688.0, fe=0.2
[2017-05-09T13:54:19.853614] id=2490, name=HD 10180 g, per=602.0, mass=0.0673813, sep=1.42271, dist=39.0168, mstar=1.06, rstar=1.10851, teff=5911.0, fe=0.08
[2017-05-09T13:54:19.855729] id=2545, name=HD 188015 b, per=461.2, mass=1.46957, sep=1.19018, dist=57.0125, mstar=1.056, rstar=1.03281, teff=5745.68, fe=0.288779
[2017-05-09T13:54:19.857590] id=2573, name=HD 1605 c, per=2111.0, mass=3.50295, sep=3.52689, dist=84.6, mstar=1.31, rstar=3.8, teff=4757.0, fe=0.21
[2017-05-09T13:54:19.859378] id=2637, name=HD 183263 b, per=626.516, mass=3.57445, sep=1.49006, dist=55.0964, mstar=1.121, rstar=1.11717, teff=5936.41, fe=0.301955
[2017-05-09T13:54:19.861173] id=2693, name=HD 45364 c, per=342.85, mass=0.658513, sep=0.897549, dist=32.6904, mstar=0.82, rstar=1.02464, teff=5434.0, fe=-0.17
[2017-05-09T13:54:19.862948] id=2701, name=Kepler-1540 b, per=125.4131177, mass=0.0195285, sep=0.443519, dist=262.0, mstar=0.74, rstar=0.69, teff=4540.0, fe=0.1
[2017-05-09T13:54:19.864727] id=2744, name=HD 16760 b, per=465.1, mass=13.2921, sep=1.08727, dist=45.4545, mstar=0.78, rstar=0.909718, teff=5620.0, fe=-0.02
[2017-05-09T13:54:19.866537] id=2861, name=GJ 687 b, per=38.14, mass=0.058, sep=0.165144, dist=4.5, mstar=0.413, rstar=0.4183, teff=3413.0, fe=-0.09
[2017-05-09T13:54:19.868343] id=2876, name=HD 92788 b, per=325.81, mass=3.56392, sep=0.951142, dist=35.461, mstar=1.078, rstar=0.813756, teff=5836.08, fe=0.317892
